,date,T2M,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,year,plant_name
0,20220101,27.18,75.07,0.37,1.94,4.8086,2022,Kasaragod Solar Park
1,20220102,26.96,73.87,0.17,1.53,5.7336,2022,Kasaragod Solar Park
2,20220103,26.74,70.92,0.05,1.56,5.6462,2022,Kasaragod Solar Park
3,20220104,26.45,68.36,0.02,1.45,5.6357,2022,Kasaragod Solar Park
4,20220105,26.08,72.43,0.06,1.09,5.3717,2022,Kasaragod Solar Park
5,20220106,26.17,72.09,0.0,1.61,5.5627,2022,Kasaragod Solar Park
6,20220107,26.41,74.84,0.02,1.38,4.6058,2022,Kasaragod Solar Park
7,20220108,26.31,77.03,0.03,1.84,4.9562,2022,Kasaragod Solar Park
8,20220109,26.01,76.97,0.01,2.28,5.2747,2022,Kasaragod Solar Park
9,20220110,25.76,78.11,0.0,2.29,5.3196,2022,Kasaragod Solar Park
10,20220111,25.77,78.29,0.0,2.99,5.6162,2022,Kasaragod Solar Park
11,20220112,24.83,79.78,0.01,2.86,5.4175,2022,Kasaragod Solar Park
12,20220113,24.4,76.87,0.0,2.14,5.7689,2022,Kasaragod Solar Park
13,20220114,24.85,74.01,0.0,2.08,5.9743,2022,Kasaragod Solar Park
14,20220115,25.65,73.58,0.0,2.47,5.9753,2022,Kasaragod Solar Park
15,20220116,26.67,71.89,0.01,2.11,5.4482,2022,Kasaragod Solar Park
16,20220117,27.0,73.07,0.82,1.66,4.6186,2022,Kasaragod Solar Park
17,20220118,27.03,71.45,0.17,2.16,5.6489,2022,Kasaragod Solar Park
18,20220119,26.76,68.93,0.04,1.73,5.6537,2022,Kasaragod Solar Park
19,20220120,25.81,70.54,0.01,2.18,5.9964,2022,Kasaragod Solar Park
20,20220121,26.08,71.53,0.0,2.35,6.0842,2022,Kasaragod Solar Park
21,20220122,25.88,76.31,0.0,2.49,5.9779,2022,Kasaragod Solar Park
22,20220123,25.04,74.86,0.01,2.59,6.0662,2022,Kasaragod Solar Park
23,20220124,24.91,71.98,0.02,2.64,6.2866,2022,Kasaragod Solar Park
24,20220125,24.34,66.51,0.0,2.3,6.0456,2022,Kasaragod Solar Park
25,20220126,24.71,72.28,0.04,2.44,5.6431,2022,Kasaragod Solar Park
26,20220127,26.14,74.25,0.12,2.34,5.6501,2022,Kasaragod Solar Park
27,20220128,27.43,70.15,0.15,1.96,5.501,2022,Kasaragod Solar Park
28,20220129,27.25,66.91,0.02,2.12,5.6112,2022,Kasaragod Solar Park
29,20220130,27.46,71.05,0.0,1.82,5.803,2022,Kasaragod Solar Park
30,20220131,27.36,73.4,0.02,1.85,5.8404,2022,Kasaragod Solar Park
31,20220201,27.39,72.2,0.0,1.94,5.879,2022,Kasaragod Solar Park
32,20220202,27.22,72.82,0.01,2.12,5.4091,2022,Kasaragod Solar Park
33,20220203,26.62,74.71,0.01,2.3,5.5812,2022,Kasaragod Solar Park
34,20220204,25.59,71.27,0.01,2.42,6.5429,2022,Kasaragod Solar Park
35,20220205,25.37,67.52,0.0,1.97,6.6871,2022,Kasaragod Solar Park
36,20220206,25.74,74.53,0.01,2.11,5.3191,2022,Kasaragod Solar Park
37,20220207,26.57,74.47,0.01,2.69,5.9664,2022,Kasaragod Solar Park
38,20220208,26.76,74.58,0.02,2.95,5.6124,2022,Kasaragod Solar Park
39,20220209,26.78,74.78,0.02,2.83,5.5003,2022,Kasaragod Solar Park
40,20220210,27.33,70.06,0.07,2.78,5.7845,2022,Kasaragod Solar Park
41,20220211,27.78,60.04,0.0,2.25,6.3065,2022,Kasaragod Solar Park
42,20220212,27.8,63.04,0.02,1.83,6.3372,2022,Kasaragod Solar Park
43,20220213,27.75,67.26,0.08,1.72,6.2261,2022,Kasaragod Solar Park
44,20220214,27.48,70.28,0.25,1.65,5.8632,2022,Kasaragod Solar Park
45,20220215,27.31,69.88,0.1,1.67,4.7318,2022,Kasaragod Solar Park
46,20220216,27.1,69.58,0.15,2.09,4.6068,2022,Kasaragod Solar Park
47,20220217,27.0,68.56,0.44,2.03,5.3376,2022,Kasaragod Solar Park
48,20220218,27.99,66.97,0.25,1.95,5.6407,2022,Kasaragod Solar Park
49,20220219,28.26,64.77,0.02,2.06,6.439,2022,Kasaragod Solar Park
50,20220220,27.95,69.16,0.0,1.9,6.4118,2022,Kasaragod Solar Park
51,20220221,27.79,68.59,0.0,2.42,6.5832,2022,Kasaragod Solar Park
52,20220222,27.55,67.99,0.0,2.78,6.2748,2022,Kasaragod Solar Park
53,20220223,28.23,64.34,0.0,2.16,5.9746,2022,Kasaragod Solar Park
54,20220224,27.97,67.34,0.05,2.04,6.7056,2022,Kasaragod Solar Park
55,20220225,28.5,67.16,0.05,2.1,6.9494,2022,Kasaragod Solar Park
56,20220226,27.97,60.11,0.03,2.13,6.9398,2022,Kasaragod Solar Park
57,20220227,27.98,63.15,0.03,2.17,6.8813,2022,Kasaragod Solar Park
58,20220228,28.35,62.59,0.07,2.26,6.793,2022,Kasaragod Solar Park
59,20220301,28.66,63.08,0.06,2.06,6.4015,2022,Kasaragod Solar Park
60,20220302,28.96,55.79,0.03,2.1,6.6089,2022,Kasaragod Solar Park
61,20220303,29.12,50.39,0.02,2.35,7.3248,2022,Kasaragod Solar Park
62,20220304,29.33,48.89,0.01,2.12,7.2223,2022,Kasaragod Solar Park
63,20220305,28.96,54.04,0.0,2.21,7.1743,2022,Kasaragod Solar Park
64,20220306,29.27,57.04,0.06,1.98,6.966,2022,Kasaragod Solar Park
65,20220307,29.35,56.84,0.07,2.07,6.5626,2022,Kasaragod Solar Park
66,20220308,29.23,63.82,0.08,2.07,6.1812,2022,Kasaragod Solar Park
67,20220309,29.21,67.68,0.28,1.97,6.4982,2022,Kasaragod Solar Park
68,20220310,29.42,64.8,0.2,2.18,6.3936,2022,Kasaragod Solar Park
69,20220311,29.79,60.75,0.11,2.21,6.8834,2022,Kasaragod Solar Park
70,20220312,29.65,58.74,0.08,2.09,6.7678,2022,Kasaragod Solar Park
71,20220313,30.07,56.48,0.11,1.62,6.9264,2022,Kasaragod Solar Park
72,20220314,29.78,59.99,0.1,1.99,6.5266,2022,Kasaragod Solar Park
73,20220315,29.72,67.77,0.19,2.14,6.3396,2022,Kasaragod Solar Park
74,20220316,29.63,66.72,0.1,2.21,6.0794,2022,Kasaragod Solar Park
75,20220317,29.56,67.58,0.34,2.11,5.8058,2022,Kasaragod Solar Park
76,20220318,29.33,69.25,1.38,1.95,5.6244,2022,Kasaragod Solar Park
77,20220319,28.81,70.64,1.27,2.09,4.638,2022,Kasaragod Solar Park
78,20220320,28.28,72.07,1.34,2.04,4.9762,2022,Kasaragod Solar Park
79,20220321,28.45,70.43,1.43,2.14,6.1524,2022,Kasaragod Solar Park
80,20220322,28.17,76.3,3.7,2.3,4.409,2022,Kasaragod Solar Park
81,20220323,28.79,77.19,4.15,2.04,4.807,2022,Kasaragod Solar Park
82,20220324,27.58,77.37,10.28,1.63,4.1088,2022,Kasaragod Solar Park
